,Speed,Left Sensor,Right Sensor,RightMotorDirection,LeftMotorDirection
253,30,1023,1023,0,0
254,30,1023,1023,0,0
255,30,1023,1023,0,0
256,30,1023,1023,0,0
257,30,1023,1023,0,0
258,30,1023,1023,0,0
259,30,1023,1023,0,0
260,30,1023,1023,0,0
261,30,1023,1023,0,0
262,30,1023,1023,0,0
263,30,1023,1023,0,0
264,30,1023,1023,0,0
265,30,1023,1023,0,0
266,30,1023,1023,0,0
267,30,1023,1023,0,0
268,30,1023,1023,0,0
269,30,1023,1023,0,0
270,30,1023,1023,0,0
271,30,1023,1023,0,0
272,30,1023,1023,0,0
273,30,1023,1023,0,0
274,30,1023,1023,0,0
275,30,1023,1023,0,0
276,30,1023,1023,0,0
277,30,1023,1023,0,0
278,30,1023,1023,0,0
279,30,1023,1023,0,0
280,30,1023,1023,0,0
281,30,1023,1023,0,0
282,30,1023,1023,0,0
283,30,1023,1023,0,0
284,30,1023,1023,0,0
285,30,1023,1023,0,0
286,30,1023,1023,0,0
287,30,1023,1022,0,0
288,30,1023,1023,0,0
289,30,1023,1023,0,0
290,30,1023,1023,0,0
291,30,1023,1023,0,0
292,30,1023,1023,0,0
293,30,1023,1023,0,0
294,30,1023,1023,0,0
295,30,1023,1023,0,0
296,30,1023,1023,0,0
297,30,1023,1023,0,0
298,30,1023,1023,0,0
299,30,1023,1023,0,0
300,30,1023,1023,0,0
301,30,1023,1023,0,0
302,30,1023,1023,0,0
303,30,1023,1023,0,0
304,30,1023,1023,0,0
305,30,1023,1023,0,0
306,30,1023,1023,0,0
307,30,1023,1023,0,0
308,30,1023,1023,0,0
309,30,1023,1023,0,0
310,30,1023,1023,0,0
311,30,1023,1023,0,0
312,30,1023,1023,0,0
313,30,1023,1023,0,0
314,30,1023,1023,0,0
315,30,1023,1023,0,0
316,30,1023,1023,0,0
317,30,1023,1023,0,0
318,30,1023,1023,0,0
319,30,1023,1023,0,0
320,30,1023,1023,0,0
321,30,1023,1023,0,0
322,30,1023,1023,0,0
323,30,1023,1023,0,0
324,30,1023,1023,0,0
325,30,1023,1023,0,0
326,30,1023,1023,0,0
327,30,1023,1023,0,0
328,30,1023,1023,0,0
329,30,1023,1023,0,0
330,30,1023,1023,0,0
331,30,1023,1023,0,0
332,30,1023,1023,0,0
333,30,1023,1023,0,0
334,30,1023,1023,0,0
335,30,1023,1023,0,0
336,30,1023,1023,0,0
337,30,1023,1023,0,0
338,30,1023,1023,0,0
339,30,1023,1022,0,0
340,30,1023,1023,0,0
341,30,1023,1023,0,0
342,30,1023,1023,0,0
343,30,1023,1023,0,0
344,30,1023,1023,0,0
345,30,1023,1023,0,0
346,30,1023,1023,0,0
347,30,1023,1023,0,0
348,30,1023,1023,0,0
349,30,1023,1023,0,0
350,30,1023,1023,0,0
351,30,1023,1023,0,0
352,30,1023,1023,0,0
353,30,1023,1023,0,0
354,30,1023,1023,0,0
355,30,1023,1023,0,0
356,30,1023,1023,0,0
357,30,1023,1023,0,0
358,30,1023,1023,0,0
359,30,1023,1023,0,0
360,30,1023,1023,0,0
361,30,1023,1023,0,0
362,30,1023,1023,0,0
363,30,1023,1023,0,0
364,30,1023,1023,0,0
